Facility.ID,PSI_03.x,PSI_06.x,PSI_08.x,PSI_09.x,PSI_10.x,PSI_11.x,PSI_12.x,PSI_13.x,PSI_14.x,PSI_15.x,PSI_90.x,MORT_30_COPD,MORT_30_HF,MORT_30_PN,READM-30-HF-HRRP,READM-30-COPD-HRRP,READM-30-PN-HRRP,H_COMP_1_STAR_RATING.x,H_COMP_2_STAR_RATING.x,H_COMP_3_STAR_RATING.x,H_COMP_5_STAR_RATING.x,H_COMP_6_STAR_RATING.x,H_COMP_7_STAR_RATING.x,H_CLEAN_STAR_RATING.x,H_QUIET_STAR_RATING.x,H_HSP_RATING_STAR_RATING.x,H_RECMND_STAR_RATING.x,H_STAR_RATING.x,HAI_6_SIR,OP-10,OP_18b,SEP_1,SEP_SH_3HR,SEV_SEP_3HR,SEV_SEP_6HR,EDAC_30_HF,EDAC_30_PN,OP_32,OP_36,READM_30_COPD,READM_30_HF,READM_30_HOSP_WIDE,READM_30_PN,PSI.90.W.Z.Score,CAUTI.W.Z.Score,CDI.W.Z.Score,Total.HAC.Score,MSPB-1.x,MORT.30.COPD.Measure.Score,MORT.30.HF.Measure.Score,MORT.30.PN.Measure.Score,MSPB.1.Measure.Score,Communication.with.Nurses.Dimension.Score,Communication.with.Doctors.Dimension.Score,Responsiveness.of.Hospital.Staff.Dimension.Score,Care.Transition.Dimension.Score,Communication.About.Medicines.Dimension.Score,Cleanliness.and.Quietness.of.Hospital.Environment.Dimension.Score,Discharge.Information.Dimension.Score,Overall.Rating.of.Hospital.Dimension.Score,HCAHPS.Base.Score,HCAHPS.Consistency.Score,HAI.6.Measure.Score,Weighted.Normalized.Clinical.Outcomes.Domain.Score,Unweighted.Person.and.Community.Engagement.Domain.Score,Weighted.Person.and.Community.Engagement.Domain.Score,Unweighted.Normalized.Efficiency.and.Cost.Reduction.Domain.Score,Weighted.Efficiency.and.Cost.Reduction.Domain.Score,Total.Performance.Score
50100,0.193494,0.233801,0.08754,2.96595,1.133789,5.085404,3.966934,3.679145,0.787398,0.960341,0.823784,8.4,9.3,11.2,1.0138,1.0343,1.0116,4,3,4,3,4,4,4,4,5,5,4,0.689,0.3,185,65,86,81,90,13.8,4,17.9,1.2,20.7,23.4,15.1,16.3,-0.8614,0.9748,0.06,0.0986,0.984151,0,7,10,1,4,2,2,6,2,4,5,8,33,20,2,15,53,13.25,10,2.5,37.75
50101,0.204729,0.247689,0.093143,2.81465,1.366678,6.45848,5.785942,5.845041,0.838476,1.712394,1.11485,7.4,10,16.6,0.9393,0.9487,0.9899,3,3,2,3,3,3,2,2,3,3,3,0.118,1.5,152,62,87,83,88,5.2,31,18,1.1,19.1,20.3,14.8,17,0.9601,-0.5679,-0.5882,-0.7607,1.009364,0,3,0,0,1,3,1,4,1,0,1,2,13,16,7,3,29,7.25,0,0,30.875
50102,0.71839,0.222339,0.094171,2.462791,1.414567,5.799544,3.040403,4.799118,0.847185,1.126399,1.016668,8,10.9,13.7,1.1329,1.0544,1.2012,2,2,2,2,2,1,3,1,2,2,2,0.168,0,150,42,88,60,91,4.1,93.8,16.1,NA,20.5,24,16.6,19.2,-0.1106,1.7953,-0.6527,0.1022,1.21395,0,0,8,0,3,1,2,0,0,3,3,2,14,13,9,11.25,27,6.75,0,0,29.875
50103,0.456087,0.241784,0.092976,2.431849,1.573507,4.991844,3.548687,4.376446,0.851991,1.40907,0.943185,7.8,10.6,14,1.0946,0.9911,1.0308,2,2,3,3,3,1,3,2,3,3,2,0.266,5,147,79,98,88,91,43.7,49.9,16.8,1,20.3,23.4,15.5,17.2,1.3878,-0.5951,-0.6656,-0.0682,1.068018,1,8,4,0,0,0,0,0,2,0,0,1,3,13,6,16.5,16,4,0,0,29.5
50104,0.567914,0.205204,0.092854,2.507216,1.408344,4.813002,4.194334,4.720145,0.834149,1.06012,0.995376,6.3,9.5,13.1,1.0807,0.991,0.9808,2,1,1,2,1,1,1,2,2,1,1,0.526,1.4,246,69,97,84,94,-4.7,31.9,16.1,NA,19.8,21.6,15.5,17,-0.554,0.1605,0.6245,-0.0303,1.071637,6,10,5,0,1,0,1,0,1,0,0,0,3,10,1,17.5,13,3.25,0,0,31.75
50107,0.2904,0.213665,0.088678,2.392125,1.099487,3.606313,3.531049,6.567106,0.796544,0.793616,0.908602,9.1,12.6,16.2,1.0021,0.975,0.9892,3,2,3,4,3,3,4,3,3,3,3,0.215,3,138,81,94,91,98,-22.6,0.5,18.4,1.1,19.6,20.8,15.1,17.2,-1.0345,0.441,-1.0978,-0.3989,0.919149,2,0,5,5,0,0,0,0,2,1,2,2,7,18,7,9,25,6.25,50,12.5,37.75
50108,0.64512,0.271634,0.11045,2.012526,1.261111,3.640216,3.467604,6.639543,0.75853,1.348666,1.044527,8.2,11.8,14.2,1.0018,1.0414,0.9689,4,3,3,3,3,4,3,2,4,4,3,0.243,0.2,181,59,88,73,88,28.8,-5.2,12.9,1,21.1,22.1,14.3,16.5,0.4015,-0.66,-0.8817,-0.1374,0.9736,0,0,6,1,1,3,0,3,1,0,2,4,14,17,7,12,31,7.75,10,2.5,32.25
50110,1.041053,0.225657,0.094868,2.731542,1.408166,4.532084,3.201092,4.672379,0.847237,1.121209,1.076874,8.9,11.4,17.5,1.0181,0.9977,1.0308,2,2,3,3,3,2,3,3,2,2,3,0.815,3.2,146,72,90,90,91,-4,-17.3,15.8,1.2,20,22.8,15.1,16.8,0.5319,2.015,2.0113,0.7682,1.004285,0,0,0,0,2,2,0,0,2,0,0,0,6,14,0,8.333333333333,20,6.666666666667,0,0,15
50112,0.088876,0.187268,0.110384,2.588447,2.441047,3.603066,5.224794,7.009432,0.825745,0.855112,1.048642,6.5,7.2,10.3,0.9742,0.9811,1.0369,4,4,4,4,3,4,3,3,5,5,4,0.574,1.3,148,62,82,86,88,-10,17.5,14.9,0.7,18.5,19.8,15,17.2,-0.4996,0.2421,0.5019,0.0875,1.055164,9,10,10,0,4,4,3,5,3,3,2,8,32,20,5,24.5,52,13,0,0,51
50113,0.490233,0.228823,0.095412,2.523221,NA,NA,3.484302,NA,NA,1.180976,0.957374,NA,NA,17.6,1.0169,NA,0.9683,3,2,2,3,3,3,2,1,3,3,3,1.312,4.5,138,73,96,85,98,NA,-9.2,15.2,1,NA,NA,15.2,16.2,-0.2563,-0.7228,1.4791,-0.339,0.976964,NA,3,1,1,1,0,0,3,3,0,5,0,12,13,0,5,25,6.25,10,2.5,26.25
